#,Clinic,Division,District,Address,Latitude,Longitude,Source,Valid,OSM_ID
1,Adhar Manick Community Clinic,Khulna,Bagerhat,Bagerhat,22.489387,89.571005,DGHS verified,Yes,6088508344
2,Bajerdanga Community Clinic,Khulna,Khulna,Khulna,22.983206,89.456638,DGHS verified,Yes,9578950510
3,Botul Bazar Community Clinic,Khulna,Satkhira,Satkhira,22.317438,89.323431,DGHS verified,Yes,6114040800
4,Center Amorbunia Community Clinic,Khulna,Bagerhat,Bagerhat,22.410414,89.741328,DGHS verified,Yes,6130790873
5,Choukuni community clinic,Khulna,Satkhira,Satkhira,22.391426,89.323579,DGHS verified,Yes,6111623621
6,Community Clinic,Khulna,Bagerhat,Bagerhat,22.698571,89.762428,DGHS verified,Yes,9575854338
7,Community Clinic Eastern Kuruper Dyer,Khulna,Bagerhat,Bagerhat,22.481387,89.740284,DGHS verified,Yes,5845731072
8,"Community Clinic, Ward 14",Khulna,Khulna,"Royermahal School Cross Road, Khulna",22.837905,89.523441,DGHS verified,Yes,305106655
9,"Community Clinic, Ward no 14",Khulna,Khulna,"Royermahal School Cross Road, Khulna",22.837941,89.523538,DGHS verified,Yes,3098853086
10,Community clinic of Tildanga Kachari Bari,Khulna,Khulna,Khulna,22.595924,89.467254,DGHS verified,Yes,6116540436
11,Datter Metho Community Clinic,Khulna,Bagerhat,Bagerhat,22.468825,89.659191,DGHS verified,Yes,5863675758
12,East Kalabagi gazibari Community Clinic,Khulna,Bagerhat,Bagerhat,22.436835,89.44699,DGHS verified,Yes,6122732989
13,Katmachar Community Clinic,Khulna,Satkhira,Satkhira,22.30588,89.296403,DGHS verified,Yes,6113692681
14,Khajuria Community Clinic,Khulna,Bagerhat,Bagerhat,22.450694,89.554635,DGHS verified,Yes,6088508335
15,Khonkarer Ber Community Clinic,Khulna,Bagerhat,Bagerhat,22.469951,89.693307,DGHS verified,Yes,5863675769
16,Bogi Shoronkhola Community Clinic,Barishal,Barguna,Barguna,22.224275,89.831329,DGHS verified,Yes,5782019941
17,Bonda Ghata Community Clinic,Barishal,Pirojpur,Pirojpur,22.37499,89.787338,DGHS verified,Yes,6126592807
18,Bothipara Community Clinic,Barishal,Barguna,Barguna,21.954134,90.075972,DGHS verified,Yes,6212952221
19,Community Clinic (3 no ward),Barishal,Patuakhali,Patuakhali,22.192854,90.492113,DGHS verified,Yes,6090683192
20,Community Clinic in front of Haji House,Barishal,Bhola,Bhola,22.428261,90.710584,DGHS verified,Yes,6105692806
21,Community Clinic in front of Talukdar house,Barishal,Bhola,Bhola,22.446797,90.701044,DGHS verified,Yes,6106909762
22,Community Clinic of Fakaruddin Hawladar House,Barishal,Bhola,Bhola,22.527829,90.717861,DGHS verified,Yes,6106623872
23,Community Clinic of Howlader house,Barishal,Bhola,Bhola,22.567122,90.729416,DGHS verified,Yes,6100699049
24,Community clinic at 7 no. ward,Barishal,Bhola,Bhola,22.57485,90.649706,DGHS verified,Yes,6109581735
25,Community clinic beside Monu Matbor house,Barishal,Bhola,Bhola,22.579411,90.732117,DGHS verified,Yes,6100698948
26,Community clinic beside Mosharref Member house,Barishal,Bhola,Bhola,22.5759,90.74306,DGHS verified,Yes,6100668251
27,Dhania Community clinic,Barishal,Bhola,Bhola,22.70846,90.6664,DGHS verified,Yes,5928584139
28,Dhansagor Community Clinic,Barishal,Pirojpur,Pirojpur,22.369853,89.823537,DGHS verified,Yes,9578950493
29,Dokhin Baliea Notun hat Community Clinic,Barishal,Bhola,Bhola,22.598572,90.6243,DGHS verified,Yes,6100762216
30,Enatia Community Clinic,Barishal,Pirojpur,Pirojpur,22.382739,89.790061,DGHS verified,Yes,9578950495
31,Banggobondu Community Clinic/Autisom Centre,Dhaka,Dhaka,Dhaka,23.786451,90.412159,DGHS verified,Yes,8880370087
32,"Barakeshabpur Community Clinic, Unnamed Road, Shibchar",Dhaka,Madaripur,Madaripur,23.391287,90.202521,DGHS verified,Yes,1278457844
33,Gobra community clinic,Dhaka,Gopalganj,Gopalganj,22.97753,89.810017,DGHS verified,Yes,9799181179
34,Laskar Dighirpar Community Clinic,Dhaka,Gopalganj,"বটতলা - লস্কর দিঘীরপাড়, Muksudpur, Gopalganj",23.272553,89.83635,DGHS verified,Yes,8999056543
35,Pakulya Community Clinic,Dhaka,Tangail,Tangail,24.142282,90.017371,DGHS verified,Yes,12376108382
36,তালতলা কমিউনিটি ক্লিনিক,Dhaka,Shariatpur,"তালতলা বাজার রোড, রাজনগর, নড়িয়া,শরিয়তপুর, Shariatpur",23.298065,90.335166,DGHS verified,Yes,715033304
37,A G Homeo Clinic,Dhaka,Dhaka,Dhaka,23.738459,90.391015,Healthsites/OSM sourced,Yes,11443840000
